Last Access Date	Host	Name	Value	Created Date	Expiration Date	Path
2023-05-02 05:22:22	.google.com	AEC	AUEFqZc-2fcRYly-4pr0aldYhIOwbJUssTxeavNZWug5gl4Z-qmsuB4REE4	2023-05-01 13:24:20	2023-10-28 13:24:20	/
2023-05-01 14:33:25	.github.com	_octo	GH1.1.360531534.1682947463	2023-05-01 13:24:23	2024-05-01 13:24:22	/
2023-05-01 14:33:25	.github.com	logged_in	no	2023-05-01 13:24:23	2024-05-01 13:24:22	/
2023-05-02 03:37:28	.bat.bing.com	MR	0	2023-05-01 13:51:40	2023-05-08 13:51:41	/
2023-05-02 03:37:26	.harrisfarm.com.au	_landing_page	%2Fcollections%2Ffruit	2023-05-01 13:51:36	2023-05-15 13:51:36	/
2023-05-02 03:37:26	.harrisfarm.com.au	_orig_referrer		2023-05-01 13:51:36	2023-05-15 13:51:36	/
2023-05-02 03:37:29	tags.srv.stackadapt.com	sa-user-id	s%3A0-8f5416a2-0e0e-4a58-53ca-f89ce5277f17.W1jOK9dPg%2BOqndUTgLQUU2CETXBG31sVYNCn2gi8V24	2023-05-01 13:51:40	2024-04-30 13:51:40	/
2023-05-02 05:22:22	www.google.com	OTZ	7010792_24_24__24_	2023-05-01 14:32:19	2023-05-31 14:32:19	/
2023-05-01 14:33:51	.adkernel.com	ADKUID	A3459323944142384218	2023-05-01 14:33:51	2023-05-31 14:33:51	/
2023-05-01 14:33:51	.adkernel.com	ADK_EX_11	1	2023-05-01 14:33:51	2023-05-15 14:33:51	/
2023-05-01 14:33:28	.youtube.com	VISITOR_INFO1_LIVE	uGYHoT3i4e8	2023-05-01 14:33:28	2023-10-28 14:33:28	/
2023-05-01 14:35:51	.apkpure.com	__gads	ID=f980d312c12dc604-226de69c8ee000c9:T=1682951628:RT=1682951628:S=ALNI_Mbrqrifl7s2ZIz1uLcDQiH5haCKAA	2023-05-01 14:33:48	2024-05-25 14:33:48	/
2023-05-01 14:35:51	.apkpure.com	__gpi	UID=00000c000b5442fb:T=1682951628:RT=1682951628:S=ALNI_MYmljsI314uAGrqWFI19orF15oUVw	2023-05-01 14:33:48	2024-05-25 14:33:48	/
