User Text	URL	Number of Hits	Number of Misses
m	https://www.google.com/search?q=magisk&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?q=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://github.com/topjohnwu/Magisk/releases	0	1
m	https://www.google.com/search?q=mcdonald%27s&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?q=mcdonald%27s+near+me&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?q=mcdonald%27s+menu&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?q=magnesium&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LKooiK9KKUk3YLRSNagwSjQ2SkoytEw2NTMwTjI3tTKoSE41NzFKS041Mk1NSzRPSfHiyU1Mz0stUcjILy1OBQC-DRUr&q=magnet+house&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LEipME0zTSoyYPTiyk1Mz0xWyM3MTgUAcb8Iew&q=magic+mike&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?q=magnesium+glycinate&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?q=magic+car+wash&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?gs_ssp=eJzj4tDP1TfIMSuoMGD04slNTE_PTFUozs0syQAAWkkHzg&q=maggie+smith&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
m	https://www.google.com/search?gs_ssp=eJzj4tTP1TcwsjTMMjZg9OLLTUzPKy1WSE4syilOzQMAZzoIZA&q=magnus+carlsen&oq=m&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=magisk&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=mcdonald%27s&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=mcdonald%27s+near+me&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=mcdonald%27s+menu&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://github.com/topjohnwu/Magisk/releases	0	1
ma	https://www.google.com/search?q=march+madness&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=march+2023+calendar&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=march+calendar+2023&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=magnesium&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LKooiK9KKUk3YLRSNagwSjQ2SkoytEw2NTMwTjI3tTKoSE41NzFKS041Mk1NSzRPSfHiyU1Mz0stUcjILy1OBQC-DRUr&q=magnet+house&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LEipME0zTSoyYPTiyk1Mz0xWyM3MTgUAcb8Iew&q=magic+mike&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=magnesium+glycinate&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?q=magic+car+wash&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?gs_ssp=eJzj4tDP1TfIMSuoMGD04slNTE_PTFUozs0syQAAWkkHzg&q=maggie+smith&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
ma	https://www.google.com/search?gs_ssp=eJzj4tTP1TcwsjTMMjZg9OLLTUzPKy1WSE4syilOzQMAZzoIZA&q=magnus+carlsen&oq=ma&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=magisk&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=mag&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=march+madness&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=march+2023+calendar&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=march+calendar+2023&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://github.com/topjohnwu/Magisk/releases	0	1
mag	https://www.google.com/search?q=magic+mike&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=magic+mike%27s+last+dance&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=magic+mike+2&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=magnesium&oq=mag&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LKooiK9KKUk3YLRSNagwSjQ2SkoytEw2NTMwTjI3tTKoSE41NzFKS041Mk1NSzRPSfHiyU1Mz0stUcjILy1OBQC-DRUr&q=magnet+house&oq=mag&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LEipME0zTSoyYPTiyk1Mz0xWyM3MTgUAcb8Iew&q=magic+mike&oq=mag&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=magnesium+glycinate&oq=mag&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
mag	https://www.google.com/search?q=magic+car+wash&oq=mag&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8	0	1
