Last Visit Time	Search Term	URL	Title	Visit Count
2023-05-01 13:24:20	magisk	"https://www.google.com/search?q=magisk&oq=magisk&aqs=chrome..69i57.1010j0j7&client=ms-android-vf-au-
rvc3&sourceid=chrome-mobile&ie=UTF-8"	magisk - Google Search	1
2023-05-01 13:51:40	where to buy fruit	"https://www.google.com/search?q=where+to+buy+fruit&oq=where+to+buy+fruit&aqs=chrome..69i57j0i433i512
j0i512j0i457i512j0i402i650l2j0i512l9.3120j0j4&client=ms-android-vf-au-rvc3&sourceid=chrome-
mobile&ie=UTF-8"	where to buy fruit - Google Search	2
2023-05-01 14:32:17	busybox	"https://www.google.com/search?q=busybox&oq=busybox&aqs=chrome..69i57j0i512l14.3567j0j9&client=ms-
android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8"	busybox - Google Search	2
2023-05-01 14:33:33	busybox	"https://www.google.com/search?q=busybox&oq=busybox&aqs=chrome..69i57j0i512l14.3567j0j9&client=ms-
android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8#ip=1"	busybox - Google Search	3
2023-05-01 14:33:32	busybox	"https://www.google.com/search?q=busybox&oq=busybox&aqs=chrome..69i57j0i512l14.3567j0j9&client=ms-
android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8#ip=1&sbfbu=1&pi=busybox"	busybox - Google Search	1
2023-05-01 14:33:34	busybox apk	"https://www.google.com/search?q=busybox+apk&client=ms-android-vf-au-rvc3&ei=aM1PZI_eKdGl2roP_ZiokAU&
oq=busybox&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYATIKCAAQRxDWBBCwAzIKCAAQRxDWBBCwAzIKCAAQRxDWBBCwAz
IKCAAQRxDWBBCwAzIKCAAQRxDWBBCwAzIKCAAQRxDWBBCwAzIKCAAQRxDWBBCwAzIKCAAQRxDWBBCwAzIKCAAQigUQsAMQQzIKCA
AQigUQsAMQQzIKCAAQigUQsAMQQzIMCAAQigUQsAMQChBDMgoIABCKBRCwAxBDMgoIABCKBRCwAxBDMgoIABCKBRCwAxBDMgoIAB
CKBRCwAxBDMgoIABCKBRCwAxBDSgQIQRgAUABYAGDYCWgBcAB4AIABAIgBAJIBAJgBAMgBEcABAQ&sclient=mobile-gws-wiz-
serp"	busybox apk - Google Search	2
2023-05-02 03:37:18	toybox apl	"https://www.google.com/search?q=toybox+apl&oq=toybox+apl&aqs=chrome..69i57j46i67i175i199i650j0i67i65
0j46i199i433i465i512j46i67i650j0i433i512l3j46i199i433i465i512j0i433i512j46i175i199i512j0i433i512j46i
175i199i512j0i433i512l2.2094j0j4&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8"	toybox apl - Google Search	3
2023-05-01 14:35:53	toybox apl	"https://www.google.com/search?q=toybox+apl&oq=toybox+apl&aqs=chrome..69i57j46i67i175i199i650j0i67i65
0j46i199i433i465i512j46i67i650j0i433i512l3j46i199i433i465i512j0i433i512j46i175i199i512j0i433i512j46i
175i199i512j0i433i512l2.2094j0j4&client=ms-android-vf-au-rvc3&sourceid=chrome-
mobile&ie=UTF-8#sbfbu=1&pi=toybox%20apl"	toybox apl - Google Search	1
2023-05-01 14:36:00	toybox apk	"https://www.google.com/search?q=toybox+apk&client=ms-android-vf-au-rvc3&ei=R85PZL6lNtSn2roPi5KqgA0&o
q=toybox+apk&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADICCCkyAggpMggIABCKBRCRAjIFCAAQgAQyBQgAEIAEMgUI
ABCABDIFCAAQgAQyBQgAEIAEMgYIABAWEB5KBAhBGABQAFgAYABoAHAAeACAAdwOiAHFG5IBAzgtMpgBAA&sclient=mobile-
gws-wiz-serp"	toybox apk - Google Search	2
2023-05-02 03:37:33	where to buy apples	"https://www.google.com/search?q=where+to+buy+apples&oq=where+to+buy+apples&aqs=chrome..69i57j0i512l2
j0i457i512j0i402i650j0i512l10.11298j0j1&client=ms-android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8"	where to buy apples - Google Search	2
2023-05-02 05:22:23	where to buy apples	"https://www.google.com/search?q=where+to+buy+apples&oq=where+to+buy+apples&aqs=chrome..69i57j0i512l2
j0i457i512j0i402i650j0i512l10.11298j0j1&client=ms-android-vf-au-rvc3&sourceid=chrome-
mobile&ie=UTF-8#sbfbu=1&pi=where%20to%20buy%20apples"	where to buy apples - Google Search	1
2023-05-02 05:22:51	news today	"https://www.google.com/search?q=news+today&oq=news&aqs=chrome.1.69i57j0i271l2.1663j0j9&client=ms-
android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8"	news today - Google Search	1
﻿2023-05-01 13:24:20	magisk	"https://www.google.com/search?q=magisk&oq=magisk&aqs=chrome..69i57.1010j0j7&client=ms-android-vf-au-
rvc3&sourceid=chrome-mobile&ie=UTF-8"	magisk - Google Search	1
2023-05-01 13:51:40	where to buy fruit	"https://www.google.com/search?q=where+to+buy+fruit&oq=where+to+buy+fruit&aqs=chrome..69i57j0i433i512
j0i512j0i457i512j0i402i650l2j0i512l9.3120j0j4&client=ms-android-vf-au-rvc3&sourceid=chrome-
mobile&ie=UTF-8"	where to buy fruit - Google Search	2
2023-05-01 14:32:17	busybox	"https://www.google.com/search?q=busybox&oq=busybox&aqs=chrome..69i57j0i512l14.3567j0j9&client=ms-
android-vf-au-rvc3&sourceid=chrome-mobile&ie=UTF-8"	busybox - Google Search	2
