Name	Package	Protection
com.google.android.apps.nexuslauncher.permission.READ_SETTINGS	com.google.android.apps.nexuslauncher	18
android.permission.LAUNCH_DEVICE_MANAGER_SETUP	android	67108866
com.google.android.settings.intelligence.apiproxy	com.google.android.settings.intelligence	2
com.google.android.gms.auth.api.phone.permission.SEND	com.google.android.gms	2
android.permission.REAL_GET_TASKS	android	18
android.permission.ACCESS_CACHE_FILESYSTEM	android	18
android.permission.REMOTE_AUDIO_PLAYBACK	android	2
android.permission.START_CROSS_PROFILE_ACTIVITIES	android	67108866
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION	com.android.providers.downloads	
android.permission.NFC_PREFERRED_PAYMENT_INFO	android	
com.google.android.apps.dreamliner.permission.WRITE_DREAMLINER_INFO	com.google.android.apps.dreamliner	2
com.google.android.gms.permission.BIND_USER_STATUS_REPORT_SERVICE	com.google.android.gms	2
android.permission.WIFI_ACCESS_COEX_UNSAFE_CHANNELS	android	67108866
com.google.android.apps.photos.permission.C2D_MESSAGE	com.google.android.apps.photos	2
com.google.android.apps.nexuslauncher.permission.HOTSEAT_EDU	com.google.android.apps.nexuslauncher	18
android.permission.MANAGE_APPOPS	android	2
android.permission.REGISTER_WINDOW_MANAGER_LISTENERS	android	2
com.shannon.permission.IWLAN_CONFIGURATION	com.shannon.qualifiednetworksservice	2
android.permission.INTENT_FILTER_VERIFICATION_AGENT	android	18
com.google.android.wallpaper.effects.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.wallpaper.effects	2
android.permission.BIND_INCALL_SERVICE	android	18
android.permission.PROVIDE_RESOLVER_RANKER_SERVICE	android	18
com.verizon.mips.services.feature_change_permission	com.verizon.mips.services	18
com.google.android.gms.trustagent.framework.model.DATA_CHANGE_NOTIFICATION	com.google.android.gms	2
android.permission.WRITE_SETTINGS	android	67110082
com.google.android.gm.permission.WRITE_GMAIL	com.google.android.gm	2
com.google.android.vending.verifier.ACCESS_VERIFIER	com.android.vending	2
com.google.android.apps.dreamliner.permission.DREAMLINER_SERVICE	com.google.android.apps.dreamliner	18
com.android.permission.INSTALL_EXISTING_PACKAGES	android	67108882
android.permission.MANAGE_TEST_NETWORKS	android	2
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	com.android.vending	
android.permission.READ_SMS	android	1
android.permission.CONTROL_KEYGUARD	android	2
android.permission.BIND_GAME_SERVICE	android	2
android.permission.MANAGE_CAMERA	android	2
android.permission.READ_WALLPAPER_INTERNAL	android	18
android.permission.MANAGE_CRATES	android	2
com.android.emergency.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.emergency	2
android.permission.ACCESS_FPS_COUNTER	android	18
com.google.android.calendar.permission.C2D_MESSAGE	com.google.android.calendar	2
android.permission.CONFIGURE_WIFI_DISPLAY	android	2
android.permission.CONFIGURE_DISPLAY_COLOR_MODE	android	2
android.permission.SET_INPUT_CALIBRATION	android	2
com.google.android.gms.matchstick.permission.BROADCAST_LIGHTER_WEB_INFO	com.google.android.gms	2
android.permission.RECOVERY	android	18
android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS	android	18
android.permission.TEMPORARY_ENABLE_ACCESSIBILITY	android	2
com.android.systemui.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.systemui	2
android.permission.SET_PROCESS_LIMIT	android	50
com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps	com.google.android.gsf	2
com.google.android.googlequicksearchbox.permission.C2D_MESSAGE	com.google.android.googlequicksearchbox	2
android.permission.READ_LOWPAN_CREDENTIAL	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.panoramio	com.google.android.gsf	
android.permission.FRAME_STATS	android	2
com.google.android.gm.permission.BROADCAST_INTERNAL	com.google.android.gm	2
com.google.android.gms.permission.APPINDEXING	com.google.android.gms	2
com.android.permission.ALLOWLIST_BLUETOOTH_DEVICE	com.google.android.bluetooth	18
com.android.keychain.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.keychain	2
android.permission.GRANT_PROFILE_OWNER_DEVICE_IDS_ACCESS	android	2
com.shannon.rcsservice.permission.READ	com.shannon.rcsservice	18
android.permission.READ_CALENDAR	android	1
android.permission.POST_NOTIFICATIONS	android	4097
android.permission.BRICK	android	2
android.permission.LOCATION_BYPASS	android	18
android.permission.READ_CALL_LOG	android	1
android.permission.BIND_ATTENTION_SERVICE	android	2
com.google.android.c2dm.permission.RECEIVE	com.google.android.gsf	
android.permission.NFC_SET_CONTROLLER_ALWAYS_ON	android	18
android.permission.BIND_PRINT_RECOMMENDATION_SERVICE	android	2
com.shannon.qualifiednetworksservice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.shannon.qualifiednetworksservice	2
android.permission.ACCESS_ULTRASOUND	android	18
android.permission.TOGGLE_AUTOMOTIVE_PROJECTION	android	67108868
android.permission.ACCESS_FINE_LOCATION	android	4097
android.permission.RESTART_PACKAGES	android	
android.permission.STORAGE_INTERNAL	android	2
android.permission.USE_CREDENTIALS	android	
android.permission.TABLET_MODE	android	2
android.permission.NOTIFICATION_DURING_SETUP	android	18
android.permission.NETWORK_STATS_PROVIDER	android	2
android.permission.BIND_KEYGUARD_APPWIDGET	android	18
com.verizon.permission.STORE_DEMO_MODE	com.verizon.llkagent	18
android.permission.NETWORK_BYPASS_PRIVATE_DNS	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.sierrasandbox	com.google.android.gsf	2
android.permission.MANAGE_FACTORY_RESET_PROTECTION	android	18
android.permission.OVERRIDE_COMPAT_CHANGE_CONFIG_ON_RELEASE_BUILD	android	18
android.permission.READ_SYSTEM_UPDATE_INFO	android	18
android.permission.BIND_DEVICE_ADMIN	android	67108866
android.permission.MODIFY_AUDIO_SETTINGS	android	
