Type	Name	Permission	Granted?	Flag
package	com.shannon.qualifiednetworksservice	com.shannon.permission.IWLAN_CONFIGURATION	true	0
package	com.shannon.qualifiednetworksservice	com.shannon.qualifiednetworksservice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	true	0
package	com.shannon.qualifiednetworksservice	android.permission.ACCESS_FINE_LOCATION	false	100
package	com.shannon.qualifiednetworksservice	android.permission.CHANGE_NETWORK_STATE	true	0
package	com.shannon.qualifiednetworksservice	android.permission.INTERNET	true	0
package	com.shannon.qualifiednetworksservice	android.permission.READ_PRECISE_PHONE_STATE	true	0
package	com.shannon.qualifiednetworksservice	android.permission.READ_EXTERNAL_STORAGE	false	2100
package	com.shannon.qualifiednetworksservice	android.permission.NETWORK_SIGNAL_STRENGTH_WAKEUP	true	0
package	com.shannon.qualifiednetworksservice	android.permission.MOUNT_UNMOUNT_FILESYSTEMS	true	0
package	com.shannon.qualifiednetworksservice	android.permission.ACCESS_COARSE_LOCATION	false	100
package	com.shannon.qualifiednetworksservice	android.permission.READ_PHONE_STATE	false	100
package	com.shannon.qualifiednetworksservice	android.permission.READ_PRIVILEGED_PHONE_STATE	true	0
package	com.shannon.qualifiednetworksservice	android.permission.ACCESS_NETWORK_STATE	true	0
package	com.shannon.qualifiednetworksservice	android.permission.ACCESS_WIFI_STATE	true	0
package	com.shannon.qualifiednetworksservice	android.permission.MODIFY_PHONE_STATE	true	0
package	com.shannon.qualifiednetworksservice	android.permission.ACCESS_BACKGROUND_LOCATION	false	2100
package	com.google.android.uvexposurereporter	android.permission.RECEIVE_BOOT_COMPLETED	true	0
package	com.google.android.uvexposurereporter	android.permission.ACCESS_CONTEXT_HUB	true	0
package	com.google.omadm.trigger	android.permission.RECEIVE_BOOT_COMPLETED	true	0
package	com.google.omadm.trigger	com.android.permission.WRITE_OMADM_SETTINGS	true	0
package	com.google.omadm.trigger	android.permission.READ_PHONE_STATE	false	100
package	com.google.omadm.trigger	android.permission.READ_PRIVILEGED_PHONE_STATE	true	0
package	com.google.omadm.trigger	com.android.permission.OMADM_CONFIGURE_DONE	true	0
package	com.google.omadm.trigger	android.permission.SCHEDULE_EXACT_ALARM	true	0
package	com.google.omadm.trigger	androidx.legacy.v4.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	true	0
package	com.google.omadm.trigger	android.permission.MODIFY_PHONE_STATE	true	0
package	com.google.android.carriersetup	android.permission.POST_NOTIFICATIONS	true	30
package	com.google.android.carriersetup	com.google.android.setupdesign.lottieloadinglayout.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	true	0
package	com.google.android.carriersetup	android.permission.CHANGE_NETWORK_STATE	true	0
package	com.google.android.carriersetup	android.permission.INTERNET	true	0
