Timestamp	Battery Level	Charge Type	Battery Saver	Timezone
2023-05-01 13:22:15	52	Charging Slowly		Australia/Perth
2023-05-01 13:31:45	52			Australia/Perth
2023-05-01 13:32:42	51			Australia/Perth
2023-05-01 13:34:42	51	Charging Slowly		Australia/Perth
2023-05-01 13:34:54	50	Charging Slowly		Australia/Perth
2023-05-01 13:38:22	50			Australia/Perth
2023-05-01 13:38:25	50	Charging Slowly		Australia/Perth
2023-05-01 13:39:40	50			Australia/Perth
2023-05-01 13:39:42	50	Charging Slowly		Australia/Perth
2023-05-01 14:01:14	51	Charging Slowly		Australia/Perth
2023-05-01 14:09:11	52	Charging Slowly		Australia/Perth
2023-05-01 14:23:02	53	Charging Slowly		Australia/Perth
2023-05-01 14:33:11	53			Australia/Perth
2023-05-01 14:34:18	52			Australia/Perth
2023-05-01 14:36:59	51			Australia/Perth
2023-05-01 15:23:11	50			Australia/Perth
2023-05-01 17:43:11	49			Australia/Perth
2023-05-01 20:09:24	48			Australia/Perth
2023-05-01 22:40:37	47			Australia/Perth
2023-05-02 00:13:12	46			Australia/Perth
2023-05-02 00:39:53	45			Australia/Perth
2023-05-02 01:43:12	44			Australia/Perth
2023-05-02 02:55:40	43			Australia/Perth
2023-05-02 03:32:59	42			Australia/Perth
2023-05-02 03:35:59	41			Australia/Perth
2023-05-02 03:37:56	40			Australia/Perth
2023-05-02 03:40:26	39			Australia/Perth
2023-05-02 03:44:42	38			Australia/Perth
2023-05-02 04:22:18	37			Australia/Perth
2023-05-02 04:59:19	36			Australia/Perth
2023-05-02 05:23:04	35			Australia/Perth
2023-05-02 05:30:36	34			Australia/Perth
2023-05-02 06:16:35	33			Australia/Perth
2023-05-02 07:03:12	32			Australia/Perth
2023-05-02 07:49:42	31			Australia/Perth
2023-05-02 08:14:10	30			Australia/Perth
2023-05-02 09:05:41	29			Australia/Perth
2023-05-02 09:53:11	28			Australia/Perth
2023-05-02 10:37:18	27			Australia/Perth
2023-05-02 10:48:53	26			Australia/Perth
2023-05-02 10:54:49	25			Australia/Perth
2023-05-02 11:28:09	24			Australia/Perth
2023-05-02 11:58:36	23			Australia/Perth
2023-05-02 12:38:48	22			Australia/Perth
2023-05-02 13:42:42	21			Australia/Perth
2023-05-02 14:43:11	20			Australia/Perth
2023-05-02 15:35:21	19			Australia/Perth
2023-05-02 16:53:11	18			Australia/Perth
2023-05-02 18:23:11	17			Australia/Perth
2023-05-02 19:43:11	16			Australia/Perth
2023-05-02 20:53:11	15			Australia/Perth
2023-05-02 22:23:11	14			Australia/Perth
2023-05-02 23:32:49	13			Australia/Perth
2023-05-03 00:38:12	12			Australia/Perth
2023-05-03 01:43:12	11			Australia/Perth
2023-05-03 02:53:12	10			Australia/Perth
2023-05-03 04:33:12	9			Australia/Perth
2023-05-03 05:18:08	8			Australia/Perth
2023-05-03 06:51:17	7			Australia/Perth
2023-05-03 07:43:12	6			Australia/Perth
2023-05-03 08:57:03	5			Australia/Perth
2023-05-03 09:49:12	5	Charging Rapidly		Australia/Perth
2023-05-03 09:50:00	6	Charging Rapidly		Australia/Perth
2023-05-03 09:50:47	7	Charging Rapidly		Australia/Perth
2023-05-03 09:51:35	8	Charging Rapidly		Australia/Perth
2023-05-03 09:52:22	9	Charging Rapidly		Australia/Perth
2023-05-03 09:53:09	10	Charging Rapidly		Australia/Perth
2023-05-03 09:53:56	11	Charging Rapidly		Australia/Perth
2023-05-03 09:54:43	12	Charging Rapidly		Australia/Perth
2023-05-03 09:55:30	13	Charging Rapidly		Australia/Perth
2023-05-03 09:56:17	14	Charging Rapidly		Australia/Perth
2023-05-03 09:57:04	15	Charging Rapidly		Australia/Perth
2023-05-03 09:57:51	16	Charging Rapidly		Australia/Perth
2023-05-03 09:58:41	17	Charging Rapidly		Australia/Perth
2023-05-03 09:59:28	18	Charging Rapidly		Australia/Perth
2023-05-03 10:02:34	19	Charging Rapidly		Australia/Perth
2023-05-03 10:03:46	20	Charging Rapidly		Australia/Perth
2023-05-03 10:04:57	21	Charging Rapidly		Australia/Perth
2023-05-03 10:06:09	22	Charging Rapidly		Australia/Perth
2023-05-03 10:07:21	23	Charging Rapidly		Australia/Perth
2023-05-03 10:08:32	24	Charging Rapidly		Australia/Perth
2023-05-03 10:09:44	25	Charging Rapidly		Australia/Perth
2023-05-03 10:10:56	26	Charging Rapidly		Australia/Perth
2023-05-03 10:12:16	27	Charging Rapidly		Australia/Perth
2023-05-03 10:14:13	28	Charging Rapidly		Australia/Perth
2023-05-03 10:15:23	29	Charging Rapidly		Australia/Perth
2023-05-03 10:16:39	30	Charging Rapidly		Australia/Perth
2023-05-03 10:17:41	31	Charging Rapidly		Australia/Perth
2023-05-03 10:18:27	32	Charging Rapidly		Australia/Perth
2023-05-03 10:19:12	33	Charging Rapidly		Australia/Perth
2023-05-03 10:19:59	34	Charging Rapidly		Australia/Perth
2023-05-03 10:20:31	35	Charging Rapidly		Australia/Perth
2023-05-03 10:21:49	36	Charging Rapidly		Australia/Perth
2023-05-03 10:22:51	37	Charging Rapidly		Australia/Perth
2023-05-03 10:23:51	38	Charging Rapidly		Australia/Perth
2023-05-03 10:24:36	39	Charging Rapidly		Australia/Perth
2023-05-03 10:25:26	40	Charging Rapidly		Australia/Perth
2023-05-03 10:26:43	41	Charging Rapidly		Australia/Perth
2023-05-03 10:27:45	42	Charging Rapidly		Australia/Perth
2023-05-03 10:28:32	43	Charging Rapidly		Australia/Perth
2023-05-03 10:29:34	44	Charging Rapidly		Australia/Perth
2023-05-03 10:30:36	45	Charging Rapidly		Australia/Perth
2023-05-03 10:31:24	46	Charging Rapidly		Australia/Perth
2023-05-03 10:32:41	47	Charging Rapidly		Australia/Perth
2023-05-03 10:33:43	48	Charging Rapidly		Australia/Perth
2023-05-03 10:34:57	49	Charging Rapidly		Australia/Perth
2023-05-03 10:35:46	50	Charging Rapidly		Australia/Perth
2023-05-03 10:36:27	51	Charging Rapidly		Australia/Perth
2023-05-03 10:37:33	52	Charging Rapidly		Australia/Perth
2023-05-03 10:38:51	53	Charging Rapidly		Australia/Perth
